chosen field: 1
ALL STUDENTS
=========================================================
Student(student_id=1, passed_practical=True, field=1)
Student(student_id=2, passed_practical=False, field=2)
Student(student_id=3, passed_practical=False, field=2)
Student(student_id=4, passed_practical=False, field=3)
Student(student_id=5, passed_practical=False, field=2)
Student(student_id=6, passed_practical=True, field=5)
Student(student_id=7, passed_practical=False, field=3)
Student(student_id=8, passed_practical=False, field=5)
Student(student_id=9, passed_practical=False, field=3)
Student(student_id=10, passed_practical=False, field=1)
Student(student_id=11, passed_practical=False, field=3)
Student(student_id=12, passed_practical=False, field=4)
Student(student_id=13, passed_practical=False, field=1)
Student(student_id=14, passed_practical=False, field=1)
Student(student_id=15, passed_practical=False, field=1)
Student(student_id=16, passed_practical=False, field=5)
Student(student_id=17, passed_practical=False, field=3)
Student(student_id=18, passed_practical=False, field=1)
Student(student_id=19, passed_practical=False, field=5)
Student(student_id=20, passed_practical=False, field=1)
Student(student_id=21, passed_practical=False, field=4)
Student(student_id=22, passed_practical=False, field=1)
Student(student_id=23, passed_practical=True, field=4)
Student(student_id=24, passed_practical=False, field=4)
Student(student_id=25, passed_practical=False, field=2)
Student(student_id=26, passed_practical=False, field=2)
Student(student_id=27, passed_practical=False, field=1)
Student(student_id=28, passed_practical=False, field=5)
Student(student_id=29, passed_practical=False, field=3)
Student(student_id=30, passed_practical=False, field=5)
Student(student_id=31, passed_practical=False, field=5)
Student(student_id=32, passed_practical=False, field=1)
Student(student_id=33, passed_practical=False, field=5)
Student(student_id=34, passed_practical=False, field=1)
Student(student_id=35, passed_practical=False, field=5)
Student(student_id=36, passed_practical=False, field=4)
Student(student_id=37, passed_practical=False, field=4)
Student(student_id=38, passed_practical=False, field=4)
Student(student_id=39, passed_practical=False, field=1)
Student(student_id=40, passed_practical=False, field=5)
Student(student_id=41, passed_practical=False, field=1)
Student(student_id=42, passed_practical=False, field=4)
Student(student_id=43, passed_practical=False, field=4)
Student(student_id=44, passed_practical=False, field=5)
Student(student_id=45, passed_practical=False, field=4)
Student(student_id=46, passed_practical=False, field=2)
Student(student_id=47, passed_practical=False, field=5)
Student(student_id=48, passed_practical=False, field=5)
Student(student_id=49, passed_practical=False, field=3)
Student(student_id=50, passed_practical=False, field=1)
Student(student_id=51, passed_practical=False, field=5)
Student(student_id=52, passed_practical=False, field=5)
Student(student_id=53, passed_practical=False, field=1)
Student(student_id=54, passed_practical=True, field=1)
Student(student_id=55, passed_practical=False, field=5)
Student(student_id=56, passed_practical=True, field=5)
